t,xi_err_norm,manipulability_w,damping_lambda
1.445000,0.00059757,0.03964985,0.00214251
1.450000,0.00058285,0.03991390,0.00203459
1.455000,0.00056850,0.04017648,0.00193003
1.460000,0.00055451,0.04043760,0.00182879
1.465000,0.00054087,0.04069721,0.00173084
1.470000,0.00052758,0.04095530,0.00163613
1.475000,0.00051463,0.04121185,0.00154463
1.480000,0.00050201,0.04146683,0.00145630
1.485000,0.00048971,0.04172024,0.00137109
1.490000,0.00047772,0.04197203,0.00128896
1.495000,0.00046604,0.04222221,0.00120988
1.500000,0.00045465,0.04247074,0.00113379
1.505000,0.00044356,0.04271762,0.00106066
1.510000,0.00043275,0.04296281,0.00099044
1.515000,0.00042222,0.04320630,0.00092309
1.520000,0.00041196,0.04344808,0.00085855
1.525000,0.00040196,0.04368812,0.00079680
1.530000,0.00039223,0.04392641,0.00073777
1.535000,0.00038274,0.04416294,0.00068143
1.540000,0.00037350,0.04439768,0.00062772
1.545000,0.00036450,0.04463063,0.00057660
1.550000,0.00035574,0.04486176,0.00052803
1.555000,0.00034720,0.04509106,0.00048195
1.560000,0.00033889,0.04531851,0.00043833
1.565000,0.00033080,0.04554411,0.00039710
1.570000,0.00032293,0.04576784,0.00035822
1.575000,0.00031526,0.04598969,0.00032165
1.580000,0.00030780,0.04620963,0.00028734
1.585000,0.00030055,0.04642767,0.00025523
1.590000,0.00029349,0.04664379,0.00022528
1.595000,0.00028662,0.04685798,0.00019745
1.600000,0.00027994,0.04707022,0.00017167
1.605000,0.00027345,0.04728052,0.00014791
1.610000,0.00026715,0.04748885,0.00012612
1.615000,0.00026102,0.04769520,0.00010624
1.620000,0.00025507,0.04789958,0.00008824
1.625000,0.00024929,0.04810197,0.00007205
1.630000,0.00024369,0.04830236,0.00005764
1.635000,0.00023825,0.04850075,0.00004496
1.640000,0.00023298,0.04869712,0.00003395
1.645000,0.00022787,0.04889148,0.00002458
1.650000,0.00022292,0.04908381,0.00001679
1.655000,0.00021813,0.04927411,0.00001054
1.660000,0.00021350,0.04946238,0.00000578
1.665000,0.00020903,0.04964861,0.00000247
1.670000,0.00020471,0.04983279,0.00000056
1.675000,0.00020054,0.05001493,0.00000000
1.680000,0.00019652,0.05019502,0.00000000
1.685000,0.00019265,0.05037305,0.00000000
1.690000,0.00018893,0.05054903,0.00000000
1.695000,0.00018536,0.05072295,0.00000000
1.700000,0.00018193,0.05089482,0.00000000
1.705000,0.00017865,0.05106462,0.00000000
1.710000,0.00017551,0.05123236,0.00000000
1.715000,0.00017251,0.05139804,0.00000000
1.720000,0.00016966,0.05156167,0.00000000
1.725000,0.00016695,0.05172323,0.00000000
1.730000,0.00016437,0.05188274,0.00000000
1.735000,0.00016193,0.05204019,0.00000000
1.740000,0.00015964,0.05219559,0.00000000
1.745000,0.00015747,0.05234893,0.00000000
1.750000,0.00015544,0.05250023,0.00000000
1.755000,0.00015355,0.05264949,0.00000000
1.760000,0.00015179,0.05279670,0.00000000
1.765000,0.00015016,0.05294188,0.00000000
1.770000,0.00014865,0.05308503,0.00000000
1.775000,0.00014728,0.05322615,0.00000000
1.780000,0.00014603,0.05336525,0.00000000
1.785000,0.00014490,0.05350233,0.00000000
1.790000,0.00014390,0.05363741,0.00000000
1.795000,0.00014301,0.05377048,0.00000000
1.800000,0.00014224,0.05390156,0.00000000
1.805000,0.00014159,0.05403065,0.00000000
1.810000,0.00014104,0.05415776,0.00000000
1.815000,0.00014061,0.05428291,0.00000000
1.820000,0.00014028,0.05440608,0.00000000
1.825000,0.00014006,0.05452731,0.00000000
1.830000,0.00013993,0.05464658,0.00000000
1.835000,0.00013990,0.05476393,0.00000000
1.840000,0.00013997,0.05487934,0.00000000
1.845000,0.00014013,0.05499285,0.00000000
1.850000,0.00014037,0.05510444,0.00000000
1.855000,0.00014070,0.05521415,0.00000000
1.860000,0.00014111,0.05532197,0.00000000
1.865000,0.00014160,0.05542791,0.00000000
1.870000,0.00014216,0.05553200,0.00000000
1.875000,0.00014280,0.05563424,0.00000000
1.880000,0.00014350,0.05573464,0.00000000
1.885000,0.00014427,0.05583323,0.00000000
1.890000,0.00014510,0.05593000,0.00000000
1.895000,0.00014599,0.05602497,0.00000000
1.900000,0.00014693,0.05611816,0.00000000
1.905000,0.00014793,0.05620957,0.00000000
1.910000,0.00014898,0.05629923,0.00000000
1.915000,0.00015008,0.05638715,0.00000000
1.920000,0.00015123,0.05647334,0.00000000
1.925000,0.00015242,0.05655781,0.00000000
1.930000,0.00015365,0.05664058,0.00000000
1.935000,0.00015492,0.05672167,0.00000000
1.940000,0.00015622,0.05680109,0.00000000
1.945000,0.00015756,0.05687885,0.00000000
1.950000,0.00015894,0.05695498,0.00000000
1.955000,0.00016034,0.05702947,0.00000000
1.960000,0.00016177,0.05710237,0.00000000
1.965000,0.00016323,0.05717366,0.00000000
1.970000,0.00016472,0.05724339,0.00000000
1.975000,0.00016623,0.05731155,0.00000000
1.980000,0.00016776,0.05737816,0.00000000
1.985000,0.00016931,0.05744325,0.00000000
1.990000,0.00017088,0.05750683,0.00000000
1.995000,0.00017247,0.05756892,0.00000000
2.000000,0.00017408,0.05762952,0.00000000
2.005000,0.00017570,0.05768867,0.00000000
2.010000,0.00017733,0.05774637,0.00000000
2.015000,0.00017898,0.05780264,0.00000000
2.020000,0.00018064,0.05785751,0.00000000
2.025000,0.00018232,0.05791098,0.00000000
2.030000,0.00018400,0.05796307,0.00000000
2.035000,0.00018569,0.05801381,0.00000000
2.040000,0.00018739,0.05806321,0.00000000
2.045000,0.00018910,0.05811129,0.00000000
2.050000,0.00019082,0.05815806,0.00000000
2.055000,0.00019254,0.05820354,0.00000000
2.060000,0.00019426,0.05824775,0.00000000
